customer_id,is_suspicious,case_date
CUST000001,0,2024-09-22
CUST000002,0,2024-09-10
CUST000003,0,2024-08-13
CUST000004,0,2024-08-30
CUST000005,0,2024-10-18
CUST000006,0,2024-11-24
CUST000007,0,2024-07-25
CUST000008,0,2024-05-20
CUST000009,0,2024-12-05
CUST000010,0,2024-08-11
CUST000011,0,2024-06-19
CUST000012,0,2025-04-11
CUST000013,0,2024-05-12
CUST000014,0,2024-09-10
CUST000015,1,2024-06-14
CUST000016,1,2024-10-19
CUST000017,0,2024-12-04
CUST000018,0,2024-07-23
CUST000019,0,2024-09-07
CUST000020,0,2024-09-07
CUST000021,0,2024-06-24
CUST000022,1,2024-04-26
CUST000023,0,2024-06-15
CUST000024,0,2025-02-12
CUST000025,0,2025-01-23
CUST000026,0,2024-06-03
CUST000027,0,2025-01-30
CUST000028,0,2025-02-13
CUST000029,1,2025-01-29
CUST000030,0,2024-07-10
CUST000031,0,2024-09-14
CUST000032,0,2024-05-15
CUST000033,1,2024-11-21
CUST000034,0,2024-07-23
CUST000035,0,2025-01-10
CUST000036,0,2024-12-20
CUST000037,0,2025-02-25
CUST000038,0,2025-01-26
CUST000039,0,2025-04-11
CUST000040,1,2024-08-17
CUST000041,1,2025-03-04
CUST000042,0,2025-03-01
CUST000043,0,2024-08-03
CUST000044,1,2024-10-28
CUST000045,0,2024-11-16
CUST000046,0,2025-03-16
CUST000047,0,2025-01-06
CUST000048,0,2024-06-24
CUST000049,0,2025-03-16
CUST000050,0,2024-05-06
CUST000051,0,2024-05-03
CUST000052,0,2024-08-19
CUST000053,1,2025-01-17
CUST000054,1,2025-03-06
CUST000055,1,2024-08-20
CUST000056,0,2024-07-25
CUST000057,0,2024-05-17
CUST000058,0,2024-06-07
CUST000059,0,2025-01-27
CUST000060,0,2024-10-23
CUST000061,1,2024-11-09
CUST000062,1,2024-04-22
CUST000063,0,2024-06-18
CUST000064,1,2025-03-08
CUST000065,1,2024-11-26
CUST000066,0,2024-08-02
CUST000067,0,2025-01-20
CUST000068,0,2024-12-11
CUST000069,1,2024-08-03
CUST000070,0,2024-10-22
CUST000071,0,2025-01-30
CUST000072,0,2024-07-09
CUST000073,0,2025-04-13
CUST000074,0,2025-03-11
CUST000075,1,2025-04-17
CUST000076,0,2024-10-20
